number,event_number,particle_name,particle_id,E,Px,Py,Pz
10894,7970,e+,-11,153.227,57.3154,-6.86333,141.938
10895,7970,e-,11,34.9589,-29.1105,-18.6566,-5.16086
10896,7972,e-,11,251.93,-43.4848,-172.897,178
10897,7973,e-,11,103.252,-64.2423,-58.8495,55.4132
10898,7973,e+,-11,165.733,33.0631,6.47312,162.273
10899,7974,e-,11,93.5139,39.7267,-0.315989,-84.6554
10900,7975,e+,-11,61.0377,-41.177,-7.36013,44.451
10901,7976,e+,-11,15.553,14.2236,3.25259,5.38578
10902,7977,e-,11,135.446,94.4397,90.3045,-35.6649
10903,7977,e+,-11,132.407,-77.609,-63.0603,-86.786
10904,7979,e-,11,52.4127,-40.9237,12.9181,-30.091
10905,7981,e-,11,45.1699,-29.9343,31.9509,-11.1086
10906,7981,e+,-11,68.9977,-22.7582,22.1346,-61.2602
10907,7983,e+,-11,20.7627,17.1257,5.26858,-10.4901
10908,7984,e-,11,61.4027,17.9055,32.3648,-49.0123
10909,7984,e+,-11,22.9358,-11.9966,7.10987,-18.2094
10910,7985,e-,11,456.493,-98.378,85.7216,437.446
10911,7986,e-,11,37.3137,9.53328,16.1664,-32.2503
10912,7988,e-,11,44.1605,31.7513,-3.35614,30.5081
10913,7989,e-,11,41.5454,-18.6653,-37.1146,0.361101
10914,7990,e+,-11,47.1851,44.1431,-11.9111,11.6593
10915,7991,e+,-11,259.697,28.4403,42.3243,-254.642
10916,7992,e-,11,40.6719,19.6666,-35.0717,-6.11579
10917,7993,e-,11,247.941,17.2731,47.3352,-242.766
10918,7994,e-,11,74.9015,53.399,-11.033,51.3522
10919,7994,e+,-11,43.9756,27.7967,26.9472,20.8577
10920,7995,e-,11,159.423,45.9564,52.77,-143.245
10921,7995,e+,-11,92.1556,-45.0756,-34.2272,-72.7278
10922,7996,e-,11,31.5367,-15.6703,25.9216,-8.77928
10923,7997,e-,11,71.9113,27.0267,-47.4978,46.7414
10924,7998,e+,-11,123.47,50.169,-20.6758,-110.907
10925,7998,e-,11,34.1475,11.8986,17.8505,-26.5675
10926,7999,e+,-11,105.588,-0.0151033,-78.7237,-70.366
10927,8000,e-,11,97.9002,29.6649,-66.1157,-65.8267
10928,8000,e+,-11,153.572,27.5392,64.091,-136.815
10929,8001,e-,11,62.8631,39.7245,33.1265,35.7262
10930,8002,e-,11,61.4007,18.5931,-24.8552,52.977
10931,8003,e-,11,34.9032,-3.62178,29.006,19.0727
10932,8004,e+,-11,122.571,-19.976,-120.928,-1.03078
10933,8005,e-,11,111.767,79.1818,21.9226,-75.7723
10934,8006,e-,11,364.506,109.437,25.0406,-346.787
10935,8006,e+,-11,57.6447,-43.1718,0.460428,38.1954
10936,8007,e+,-11,80.1162,13.9214,69.1472,-37.993
10937,8008,e-,11,117.328,3.38737,-66.3934,-96.6763
10938,8009,e-,11,44.4001,-17.2421,40.9009,1.09029
10939,8009,e+,-11,20.3994,-18.0209,9.06557,3.03322
10940,8010,e+,-11,117.418,21.6305,-26.3135,112.369
10941,8010,e-,11,28.623,27.3827,-3.42835,7.59656
10942,8011,e+,-11,51.5999,0.428707,43.4596,-27.8142
10943,8013,e+,-11,220.894,27.6927,48.6626,-213.681
10944,8013,e-,11,35.8385,-2.49368,-31.4147,-17.0675
10945,8014,e+,-11,30.6928,29.7307,2.00753,7.35564
10946,8015,e+,-11,44.6518,-8.37765,32.0859,-29.9013
10947,8016,e-,11,52.1521,-4.93339,26.6955,44.5293
10948,8016,e+,-11,19.7938,-0.579997,14.5826,-13.3718
10949,8017,e+,-11,132.298,-125.609,-39.7277,12.1151
10950,8017,e-,11,101.137,71.7459,45.6029,54.7866
10951,8018,e+,-11,131.674,-69.6152,65.8485,90.3093
10952,8018,e-,11,63.068,-24.898,-57.872,2.91347
10953,8019,e+,-11,183.42,-159.337,-84.8387,32.5161
10954,8019,e-,11,126.279,19.4406,124.758,1.94558
10955,8020,e-,11,40.5701,32.9988,23.5459,1.61139
10956,8020,e+,-11,53.5519,-18.8183,-5.60912,-49.8218
10957,8022,e-,11,98.4841,4.93215,-36.3473,91.3984
10958,8023,e-,11,264.683,48.5579,3.67023,-260.164
10959,8023,e+,-11,34.8142,-1.13801,25.2229,23.9695
10960,8024,e+,-11,122.645,-3.59304,75.2639,96.7684
10961,8024,e-,11,75.1884,67.8842,10.4497,30.5913
10962,8025,e-,11,72.8183,-67.2195,22.2408,17.0117
10963,8025,e+,-11,24.1104,-17.6941,14.955,-6.67676
10964,8026,e+,-11,18.9115,7.02402,-11.8842,-12.9257
10965,8027,e+,-11,46.1082,8.30545,-45.168,-4.1025
10966,8028,e-,11,69.5276,-12.7325,41.7325,54.1328
10967,8028,e+,-11,45.865,-13.199,-39.7381,-18.7156
10968,8030,e-,11,143.538,83.1253,15.0033,-116.053
10969,8031,e-,11,101.151,-80.3962,45.4186,41.2932
10970,8031,e+,-11,69.4882,33.3644,-54.4421,-27.4132
10971,8032,e+,-11,92.8271,31.7106,-38.4645,78.3058
10972,8032,e-,11,48.2537,4.7882,45.5233,15.2684
10973,8033,e+,-11,161.135,60.5094,-37.6585,-144.516
10974,8033,e-,11,24.246,12.3737,8.89278,-18.8594
10975,8034,e+,-11,27.4377,-26.1909,-6.2205,-5.30769
10976,8036,e-,11,42.0027,-7.36629,-41.1081,-4.48222
10977,8037,e+,-11,29.3556,19.1067,20.6543,-8.37179
10978,8037,e-,11,23.3756,-5.23356,12.3158,-19.1663
10979,8038,e+,-11,46.8169,30.2819,-34.4845,-9.25474
10980,8038,e-,11,40.9806,-21.6972,-26.1627,22.8944
10981,8039,e+,-11,45.3101,44.3106,-9.03167,-2.83006
